cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,547,1481.17%,4443.53,1y 63d 6h 8m,1y 63d 6h 8m
ETHUSDT Perpetual,252,1439.00%,4317.02,1y 63d 6h 29m,1y 63d 6h 29m
ADAUSDT Perpetual,1112,1369.60%,164.35,70d 5h 2m,70d 5h 2m
ETHUSDT Perpetual,0,1117.34%,223.47,35d 12h 40m,35d 12h 40m
ETHUSDT Perpetual,13,1083.13%,2675.35,1y 62d 12h 41m,1y 62d 12h 41m
DOGEUSDT Perpetual,94,1028.86%,179.02,1y 8d 21h 33m,1y 8d 21h 33m
BAKEUSDT Perpetual,53,1028.80%,102.88,56d 21h 14m,56d 21h 14m
CHZUSDT Perpetual,25,968.99%,2474.33,1y 36d 20h 29m,1y 36d 20h 29m
ETHUSDT Perpetual,0,929.52%,2528.30,1y 61d 21h 42m,1y 61d 21h 42m
TRXUSDT Perpetual,57,892.06%,187.33,163d 6h 16m,163d 6h 16m
ALICEUSDT Perpetual,15,819.16%,737.25,357d 6h 51m,357d 6h 51m
UNFIUSDT Perpetual,96,803.17%,160.63,37d 2h 27m,37d 2h 27m
ANKRUSDT Perpetual,12,789.35%,78.94,328d 15h 51m,328d 15h 51m
XMRUSDT Perpetual,7,783.58%,4701.51,166d 8h 27m,166d 8h 27m
XMRUSDT Perpetual,1,743.32%,1486.64,1y 33d 46m,1y 33d 46m
MATICUSDT Perpetual,5,628.70%,43.32,50d 17h 22m,50d 17h 22m
ZRXUSDT Perpetual,14,560.02%,28.00,23d 16h 29m,23d 16h 29m
BTCUSDT Perpetual,10,554.51%,367.75,37d 12h 41m,37d 12h 41m
BTCUSDT Perpetual,27,542.50%,146.48,29d 12h 22m,29d 12h 22m
UNIUSDT Perpetual,0,513.18%,1606.27,1y 35d 20h 16m,1y 35d 20h 16m
CRVUSDT Perpetual,0,502.72%,235.28,38d 22h 13m,38d 22h 13m
LTCUSDT Perpetual,1,474.52%,1418.84,1y 35d 20h 13m,1y 35d 20h 13m
PEOPLEUSDT Perpetual,12,472.82%,39.10,51d 10m,51d 10m
EOSUSDT Perpetual,4,470.13%,141.04,22d 20h 29m,22d 20h 29m
BTCUSDT Perpetual,5,460.21%,230.11,1y 94d 17h 23m,1y 94d 17h 23m
ZECUSDT Perpetual,0,423.76%,211.88,147d 8h 42m,147d 8h 42m
DOTUSDT Perpetual,0,419.00%,22.08,36d 17m,36d 17m
LINKUSDT Perpetual,1,403.53%,326.06,69d 23h 12m,69d 23h 12m
EOSUSDT Perpetual,0,401.73%,803.48,38d 11h 55m,38d 11h 55m
DOTUSDT Perpetual,0,398.15%,60.72,28d 18h 12m,28d 18h 12m
DOTUSDT Perpetual,2,397.28%,1199.80,70d 22h 17m,70d 22h 17m
ADAUSDT Perpetual,3,389.66%,26.26,70d 7h 12m,70d 7h 12m
TRBUSDT Perpetual,5,386.29%,198.75,40d 20h 38m,40d 20h 38m
BLZUSDT Perpetual,0,377.33%,113.20,161d 20h 1m,161d 20h 1m
SNXUSDT Perpetual,69,376.07%,22.87,30d 15h 8m,30d 15h 8m
KNCUSDT Perpetual,0,363.02%,907.56,1y 77d 5h 49m,1y 77d 5h 49m
LTCUSDT Perpetual,2,360.53%,93.27,253d 15h 36m,253d 15h 36m
SANDUSDT Perpetual,1,347.52%,104.26,52d 17h 55m,52d 17h 55m
ANTUSDT Perpetual,0,339.68%,50.95,35d 5h 26m,35d 5h 26m
YFIUSDT Perpetual,1,332.70%,49.91,26d 6h 17m,26d 6h 17m
THETAUSDT Perpetual,0,328.06%,82.02,20d 2h 21m,20d 2h 21m
TRXUSDT Perpetual,2,323.01%,413.46,185d 3h 55m,185d 3h 55m
MANAUSDT Perpetual,1,322.43%,64.49,40d 22h 6m,40d 22h 6m
MASKUSDT Perpetual,0,316.23%,632.47,30d 10h 3m,30d 10h 3m
TRXUSDT Perpetual,0,315.05%,157.53,110d 20h 43m,110d 20h 43m
SANDUSDT Perpetual,0,313.80%,26.67,56d 15h 29m,56d 15h 29m
JASMYUSDT Perpetual,0,311.07%,14.93,37d 16h 39m,37d 16h 39m
TLMBUSD Perpetual,2,310.75%,466.13,35d 6h 27m,35d 6h 27m
LTCUSDT Perpetual,0,309.14%,177.14,70d 21h 53m,70d 21h 53m
