cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,375,1428.02%,4284.06,1y 53d 1h 6m,1y 53d 1h 6m
ADAUSDT Perpetual,695,1340.30%,160.84,60d,60d
ETHUSDT Perpetual,173,1295.48%,3886.44,1y 53d 1h 27m,1y 53d 1h 27m
DOGEUSDT Perpetual,61,1027.06%,178.71,363d 16h 31m,363d 16h 31m
CHZUSDT Perpetual,17,963.64%,2460.68,1y 26d 15h 27m,1y 26d 15h 27m
TRXUSDT Perpetual,47,875.59%,183.87,153d 1h 13m,153d 1h 13m
ETHUSDT Perpetual,0,855.58%,2113.28,1y 52d 7h 39m,1y 52d 7h 39m
ALICEUSDT Perpetual,9,819.16%,737.25,347d 1h 49m,347d 1h 49m
ANKRUSDT Perpetual,0,778.03%,77.80,318d 10h 48m,318d 10h 48m
UNFIUSDT Perpetual,49,754.50%,150.90,26d 21h 24m,26d 21h 24m
ETHUSDT Perpetual,0,736.30%,2002.75,1y 51d 16h 39m,1y 51d 16h 39m
BAKEUSDT Perpetual,8,724.91%,72.49,46d 16h 11m,46d 16h 11m
XMRUSDT Perpetual,4,711.94%,4271.70,156d 3h 25m,156d 3h 25m
BTCUSDT Perpetual,27,640.73%,44.85,1y 30d 9h 11m,1y 30d 9h 11m
XMRUSDT Perpetual,0,592.60%,1185.21,1y 22d 19h 43m,1y 22d 19h 43m
API3USDT Perpetual,13,539.54%,107.91,35d 13h 45m,35d 13h 45m
CRVUSDT Perpetual,0,502.72%,235.28,28d 17h 11m,28d 17h 11m
UNIUSDT Perpetual,0,456.22%,1427.98,1y 25d 15h 13m,1y 25d 15h 13m
BTCUSDT Perpetual,3,446.15%,223.08,1y 84d 12h 21m,1y 84d 12h 21m
LTCUSDT Perpetual,1,442.97%,1324.49,1y 25d 15h 11m,1y 25d 15h 11m
BTCUSDT Perpetual,4,415.72%,112.25,19d 7h 19m,19d 7h 19m
BTCUSDT Perpetual,2,409.02%,110.44,19d 7h 20m,19d 7h 20m
ZECUSDT Perpetual,0,408.31%,204.16,137d 3h 40m,137d 3h 40m
PEOPLEUSDT Perpetual,8,405.82%,33.56,40d 19h 8m,40d 19h 8m
DUSKUSDT Perpetual,3,373.09%,22.01,27d 19h 52m,27d 19h 52m
BLZUSDT Perpetual,0,365.91%,109.78,151d 14h 59m,151d 14h 59m
LTCUSDT Perpetual,0,360.53%,93.27,243d 10h 34m,243d 10h 34m
ADAUSDT Perpetual,1,358.60%,24.17,60d 2h 10m,60d 2h 10m
KNCUSDT Perpetual,0,348.07%,870.19,1y 67d 46m,1y 67d 46m
BTCUSDT Perpetual,7,339.11%,224.90,27d 7h 39m,27d 7h 39m
ETHUSDT Perpetual,4,337.10%,10.11,12d 22h 51m,12d 22h 51m
LINKUSDT Perpetual,1,335.33%,270.95,59d 18h 9m,59d 18h 9m
ZRXUSDT Perpetual,6,326.35%,16.32,13d 11h 27m,13d 11h 27m
TRXUSDT Perpetual,2,312.75%,400.32,174d 22h 53m,174d 22h 53m
TRXUSDT Perpetual,0,308.80%,154.40,100d 15h 41m,100d 15h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,235d 13h 37m,235d 13h 37m
EOSUSDT Perpetual,0,307.23%,614.48,28d 6h 52m,28d 6h 52m
KNCUSDT Perpetual,3,301.72%,301.73,19d 7h 4m,19d 7h 4m
ETHUSDT Perpetual,4,299.21%,42.70,27d 19h 29m,27d 19h 29m
TRBUSDT Perpetual,3,293.13%,150.82,30d 15h 35m,30d 15h 35m
SOLUSDT Perpetual,2,287.21%,23.75,23d 12h 55m,23d 12h 55m
ARUSDT Perpetual,0,276.72%,249.05,137d 3h 44m,137d 3h 44m
SNXUSDT Perpetual,12,271.38%,16.50,20d 10h 6m,20d 10h 6m
LUNA2BUSD Perpetual,1,268.63%,295.50,26d 22h 3m,26d 22h 3m
UNIUSDT Perpetual,0,267.40%,45.46,57d 21h 51m,57d 21h 51m
BTCUSDT Perpetual,1,263.06%,27.99,17d 1h 11m,17d 1h 11m
BAKEUSDT Perpetual,9,256.86%,264.29,17d 12h 9m,17d 12h 9m
DOTUSDT Perpetual,0,256.16%,13.50,25d 19h 15m,25d 19h 15m
ETHUSDT Perpetual,0,254.86%,11.47,20d 17h 24m,20d 17h 24m
DOTUSDT Perpetual,2,254.12%,767.45,60d 17h 15m,60d 17h 15m
APEUSDT Perpetual,0,252.99%,25.30,12d 23h 52m,12d 23h 52m
1000SHIBUSDT Perpetual,5,252.48%,25.25,16d 12h 13m,16d 12h 13m
