cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,438,1442.56%,4327.70,1y 57d 20h 6m,1y 57d 20h 6m
ADAUSDT Perpetual,874,1392.02%,167.04,64d 19h,64d 19h
ETHUSDT Perpetual,198,1327.90%,3983.71,1y 57d 20h 27m,1y 57d 20h 27m
DOGEUSDT Perpetual,72,1025.53%,178.44,1y 3d 11h 31m,1y 3d 11h 31m
CHZUSDT Perpetual,17,958.65%,2447.93,1y 31d 10h 27m,1y 31d 10h 27m
ETHUSDT Perpetual,9,898.27%,2218.74,1y 57d 2h 39m,1y 57d 2h 39m
TRXUSDT Perpetual,53,882.96%,185.42,157d 20h 14m,157d 20h 14m
BAKEUSDT Perpetual,17,872.81%,87.28,51d 11h 11m,51d 11h 11m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 20h 49m,351d 20h 49m
ANKRUSDT Perpetual,11,774.04%,77.40,323d 5h 48m,323d 5h 48m
ETHUSDT Perpetual,0,773.06%,2102.73,1y 56d 11h 40m,1y 56d 11h 40m
XMRUSDT Perpetual,7,746.63%,4479.81,160d 22h 25m,160d 22h 25m
XMRUSDT Perpetual,7,746.85%,4481.11,160d 23h 25m,160d 23h 25m
XMRUSDT Perpetual,0,662.53%,1325.08,1y 27d 15h 44m,1y 27d 15h 44m
BTCUSDT Perpetual,36,640.73%,44.85,1y 35d 5h 11m,1y 35d 5h 11m
MATICUSDT Perpetual,2,624.61%,43.04,45d 8h 20m,45d 8h 20m
API3USDT Perpetual,19,604.65%,120.93,40d 9h 45m,40d 9h 45m
BTCUSDT Perpetual,11,527.16%,142.33,24d 3h 20m,24d 3h 20m
BTCUSDT Perpetual,7,525.15%,141.79,24d 3h 20m,24d 3h 20m
UNIUSDT Perpetual,0,509.12%,1593.57,1y 30d 11h 13m,1y 30d 11h 13m
CRVUSDT Perpetual,0,502.72%,235.28,33d 13h 11m,33d 13h 11m
BTCUSDT Perpetual,4,447.50%,223.75,1y 89d 8h 21m,1y 89d 8h 21m
LTCUSDT Perpetual,1,445.82%,1333.03,1y 30d 11h 11m,1y 30d 11h 11m
KNCUSDT Perpetual,3,418.11%,418.11,24d 3h 4m,24d 3h 4m
ZECUSDT Perpetual,0,413.46%,206.73,141d 23h 40m,141d 23h 40m
GMTUSDT Perpetual,13,408.87%,24.53,19d 17h 9m,19d 17h 9m
PEOPLEUSDT Perpetual,10,407.85%,33.73,45d 15h 8m,45d 15h 8m
BTCUSDT Perpetual,7,395.55%,262.33,32d 3h 39m,32d 3h 39m
