cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,416,1423.86%,4271.59,1y 56d 9h 6m,1y 56d 9h 6m
ADAUSDT Perpetual,807,1392.68%,167.12,63d 8h,63d 8h
ETHUSDT Perpetual,190,1269.01%,3807.04,1y 56d 9h 27m,1y 56d 9h 27m
DOGEUSDT Perpetual,69,1024.19%,178.21,1y 2d 31m,1y 2d 31m
CHZUSDT Perpetual,17,928.76%,2371.60,1y 29d 23h 27m,1y 29d 23h 27m
TRXUSDT Perpetual,51,876.91%,184.15,156d 9h 14m,156d 9h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,350d 9h 49m,350d 9h 49m
ETHUSDT Perpetual,0,816.97%,2017.94,1y 55d 15h 39m,1y 55d 15h 39m
ANKRUSDT Perpetual,11,769.20%,76.92,321d 18h 48m,321d 18h 48m
BAKEUSDT Perpetual,17,715.83%,71.58,50d 11m,50d 11m
XMRUSDT Perpetual,7,706.45%,4238.70,159d 11h 25m,159d 11h 25m
ETHUSDT Perpetual,0,703.26%,1912.87,1y 55d 40m,1y 55d 40m
UNFIUSDT Perpetual,64,643.33%,128.67,30d 5h 25m,30d 5h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 33d 17h 11m,1y 33d 17h 11m
API3USDT Perpetual,19,637.34%,127.47,38d 21h 45m,38d 21h 45m
XMRUSDT Perpetual,0,572.01%,1144.04,1y 26d 3h 44m,1y 26d 3h 44m
MATICUSDT Perpetual,1,503.81%,34.71,43d 20h 20m,43d 20h 20m
CRVUSDT Perpetual,0,502.72%,235.28,32d 1h 11m,32d 1h 11m
UNIUSDT Perpetual,0,466.80%,1461.10,1y 28d 23h 13m,1y 28d 23h 13m
BTCUSDT Perpetual,9,449.65%,121.41,22d 15h 20m,22d 15h 20m
BTCUSDT Perpetual,4,449.05%,121.25,22d 15h 20m,22d 15h 20m
BTCUSDT Perpetual,4,441.72%,220.86,1y 87d 20h 21m,1y 87d 20h 21m
LTCUSDT Perpetual,1,424.16%,1268.25,1y 28d 23h 11m,1y 28d 23h 11m
PEOPLEUSDT Perpetual,10,392.34%,32.45,44d 3h 8m,44d 3h 8m
ZECUSDT Perpetual,0,384.91%,192.46,140d 11h 40m,140d 11h 40m
