cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1170,912.59%,8022.19,51d 3h 51m
GMT/BUSD,17,680.85%,662.77,61d 1h 27m
GMT/BUSD,8,579.76%,584.56,59d 12h 8m
GMT/BUSD,5,462.34%,495.32,59d 8h 3m
GMT/BUSD,1,324.31%,626.93,84d 3h 54m
GMT/BUSD,5,322.68%,519.63,57d 10h 15m
GMT/BUSD,7,307.49%,10845.01,67d 2h 36m
GMT/BUSD,1,307.31%,411.30,50d 9h 46m
GMT/BUSD,1,300.14%,1459.14,84d 11h 24m
GMT/BUSD,6,284.82%,1023.23,53d 12h 23m
GMT/BUSD,0,233.80%,776.44,53d 23h 26m
GMT/BUSD,1,233.60%,442.34,54d 6h 6m
GMT/BUSD,0,232.37%,623.31,56d 4h 27m
GMT/BUSD,0,228.11%,448.89,55d 23h 5m
GMT/BUSD,0,217.57%,819.23,60d 5h 13m
GMT/BUSD,1,181.12%,314.03,47d 21h 9m
GMT/BUSD,0,171.46%,395.29,84d 20h 49m
GMT/BUSD,1,152.49%,671.04,46d 1h 8m
GMT/BUSD,0,141.69%,859.49,68d 20h 3m
ANC/USDT,43,126.89%,52.49,56d 3h 49m
GMT/BUSD,0,118.95%,313.55,73d 21h 8m
GMT/BUSD,0,112.41%,378.42,72d 12h 48m
GMT/BUSD,0,106.54%,573.49,81d 4h 28m
GMT/BUSD,0,105.53%,557.53,84d 3h 57m
GMT/BUSD,0,97.60%,394.22,72d 17h 40m
ANC/BNB,6,96.95%,80.85,58d 4h 13m
GMT/BUSD,0,95.14%,267.34,76d 7h 33m
PEOPLE/USDT,2,83.43%,675.80,55d 6h 10m
GMT/BUSD,0,82.13%,401.13,75d 5h 7m
GMT/BUSD,0,81.91%,453.40,70d 1h 3m
UMA/BUSD,1,81.18%,238.95,62d 19h 38m
GMT/BUSD,1,79.68%,65.68,74d 17h 18m
FORTH/BUSD,0,72.43%,83.94,44d 14h 52m
GMT/BUSD,0,71.63%,1244.72,77d 19h 21m
TCT/BTC,3,68.41%,23.87,60d 4h 47m
TRX/BUSD,1,63.23%,294.38,96d 1h 23m
FLM/BTC,3,59.64%,55.69,74d 8h 52m
GMT/BUSD,0,57.66%,1734.33,75d 22m
ASR/USDT,2,57.61%,39.29,51d 27m
TRX/BUSD,0,57.15%,1831.85,86d 16h 46m
GMT/BUSD,0,56.51%,121.04,75d 15h 11m
PAXG/BTC,4,56.07%,173.31,70d 6h 4m
FORTH/BUSD,0,54.82%,60.13,57d 23h 37m
OG/USDT,3,54.62%,773.04,49d 22h 15m
PEOPLE/USDT,1,54.55%,79.52,61d 2h 46m
GMT/BUSD,0,52.96%,343.34,69d 40m
KP3R/USDT,0,51.01%,56.81,60d 21h 17m
CVX/BUSD,0,49.41%,1912.46,26d 21h 58m
BNB/ETH,9,48.18%,251.86,101d 7h 17m
LINK/ETH,2,48.17%,183.46,63d 5h 34m
RARE/BNB,1,47.69%,28.30,57d 13h 50m
COCOS/BNB,0,47.37%,167.81,45d 19h 36m
PEOPLE/BTC,1,46.94%,874.38,62d 22h 42m
MATIC/USDT,9,45.89%,309.19,24d 3h 22m
GMT/BUSD,0,45.83%,72.77,47d 17h 52m
REQ/BTC,0,45.79%,20.74,50d 15h 47m
ASR/USDT,0,45.67%,240.88,38d 21h 20m
CTXC/USDT,2,45.01%,46.71,61d 18h 14m
GMT/BUSD,0,44.04%,414.20,25d 4h 4m
AAVE/ETH,1,43.31%,271.19,62d 6h 38m
COCOS/USDT,0,42.91%,202.72,40d 31m
GMT/BUSD,9,42.67%,90.35,25d 1h 16m
UNI/BTC,0,42.50%,736.55,46d 11h 14m
SHIB/DOGE,0,42.47%,39.78,156d 21h 38m
DYDX/USDT,1,42.47%,382.15,26d 2h 12m
FLM/BTC,0,41.20%,30.67,76d 5h 51m
GMT/BUSD,1,40.05%,53.61,25d 3h 36m
TRU/BTC,2,39.63%,34.01,18d 1h 14m
KEY/USDT,0,39.60%,88.39,49d 19h 18m
GTC/BUSD,0,39.39%,321.88,57d 18h 29m
PAXG/BTC,1,39.26%,428.57,61d 11h 6m
GMT/BUSD,1,38.74%,15.73,25d 5h 8m
GMT/BUSD,0,38.73%,17.63,25d 4h 37m
TROY/BUSD,0,38.65%,107.71,49d 2h 14m
DUSK/BTC,0,38.49%,124.60,59d 15h 28m
UMA/USDT,1,38.41%,103.08,28d 7h 57m
GMT/BUSD,0,38.09%,221.18,28d 5h 31m
BNB/ETH,1,38.09%,223.14,183d 19h 17m
BETA/ETH,0,37.92%,24.91,44d 21h 18m
JASMY/BTC,0,37.92%,80.60,87d 12h 48m
GMT/BUSD,3,37.67%,19.12,24d 20h 8m
TRX/USDT,0,37.29%,677.97,85d 5h 12m
GMT/BUSD,0,37.15%,33.40,24d 19h 23m
GMT/BUSD,0,36.82%,115.75,76d 18h 10m
PAXG/BNB,0,36.48%,716.42,49d 1h 44m
LINK/USDT,0,35.70%,177.91,31d 11h 17m
TRX/BTC,1,35.58%,26.14,65d 1h 27m
ERN/BUSD,0,35.56%,128.42,29d 16h 12m
CTK/USDT,0,34.87%,188.25,57d 10h 59m
BNB/ETH,0,34.83%,148.48,182d 18h 6m
GMT/BUSD,0,34.66%,17.16,25d 6h 59m
THETA/BTC,3,34.42%,60.26,35d 18h 45m
ANC/USDT,2,34.05%,45.96,31d 10h 32m
GMT/BUSD,0,33.87%,283.13,25d 20h 8m
GMT/USDT,2,33.84%,331.60,63d 6h 5m
SHIB/DOGE,0,33.83%,19.27,65d 1h 45m
GMT/BUSD,0,33.80%,627.30,25d 19h 38m
HIGH/BTC,0,33.66%,58.46,43d 2h 19m
BEL/BUSD,1,33.61%,103.59,45d 7h 5m
ANC/BTC,1,33.30%,28.77,33d 3h 33m
BNB/ETH,0,33.13%,236.83,152d 12h 27m
REQ/BTC,0,32.99%,33.46,25d 5h 7m
DODO/BUSD,5,32.71%,55.76,49d 19h 17m
AAVE/BUSD,6,32.71%,120.37,28d 8h 5m
DODO/BTC,0,32.64%,144.64,54d 1h 18m
BNB/ETH,1,32.52%,182.84,63d 20h 18m
TRU/BTC,0,32.47%,12.59,17d 16h 42m
MDX/BUSD,0,32.41%,116.94,29d 16h 13m
